YBL059C-A,CMC2
YBL071W-A,KTI11
YBL091C-A,SCS22
YBL103C-A,YBL103C-A
YBR058C-A,TSC3
YBR075W,YBR075W
YBR233W-A,DAD3
YCL003W,YCL003W
YCL012W,YCL012W
YCL026C-B,HBN1
YCL057C-A,MIC10
YCL060C,YCL060C
YCR020W-B,HTL1
YCR028C-A,RIM1
YCR029C-A,YCR029C-A
YCR055C,YCR055C
YCR062W,YCR062W
YCR080W,YCR080W
YDL130W-A,STF1
YDL159W-B,YDL159W-B
YDR079C-A,TFB5
YDR320C-A,DAD4
YDR363W-A,SEM1
YDR525W-A,SNA2
YEL020W-A,TIM9
YER014C-A,BUD25
YER048W-A,ISD11
YER074W-A,YOS1
YER087C-A,YER087C-A
YER108C,YER108C
YFL043C,YFL043C
YFR024C,YFR024C
YGL210W-A,YGL210W-A
YHR021W-A,ECM12
YHR072W-A,NOP10
YHR132W-A,IGO2
YIL015C-A,YIL015C-A
YJL017W,YJL017W
YJL018W,YJL018W
YJL062W-A,COA3
YJR135W-A,TIM8
YKL053C-A,MDM35
YKL138C-A,HSK3
YKL200C,YKL200C
YKR099C-A,YKR099C-A
YLL018C-A,COX19
YLR154W-A,YLR154W-A
YLR262C-A,TMA7
YLR312C-B,YLR312C-B
YLR312W-A,MRPL15
YML033W,YML033W
YML058W-A,HUG1
YML081C-A,ATP18
YMR158C-B,YMR158C-B
YMR268W-A,YMR268W-A
YNL067W-A,YNL067W-A
YNR032C-A,HUB1
YOL013W-B,YOL013W-B
YOL077W-A,ATP19
YOL086W-A,MHF1
YPL096C-A,ERI1
YPL183W-A,RTC6
YPL249C-A,RPL36B
YPR133W-A,TOM5
YAL064W-B,YAL064W-B
YOR008C-A,YOR008C-A
YCL001W-A,YCL001W-A
YER039C-A,YER039C-A
YDR034C-A,YDR034C-A
YDR034W-B,YDR034W-B
YER138W-A,YER138W-A
YKL033W-A,YKL033W-A
Q0045,COX1
Q0050,AI1
Q0055,AI2
Q0060,AI3
Q0065,AI4
Q0070,AI5_ALPHA
Q0075,AI5_BETA
Q0080,ATP8
Q0085,ATP6
Q0105,COB
Q0110,BI2
Q0115,BI3
Q0120,BI4
Q0130,OLI1
Q0140,VAR1
Q0160,SCEI
Q0250,COX2
Q0255,Q0255
Q0275,COX3
YBR085C-A,YBR085C-A
YER053C-A,YER053C-A
YMR122W-A,NCW1
YNR034W-A,EGO4
YCL021W-A,YCL021W-A
YAL044W-A,BOL1
YDL085C-A,YDL085C-A
YBL029C-A,YBL029C-A
YCL001W-B,YCL001W-B
YDR379C-A,SDH6
YFR012W-A,YFR012W-A
YGL258W-A,YGL258W-A
YJL052C-A,YJL052C-A
YKL018C-A,MCO12
YKL106C-A,YKL106C-A
YLR099W-A,MIM2
YLR363W-A,YLR363W-A
YML007C-A,MIN4
YNL162W-A,YNL162W-A
YOL159C-A,YOL159C-A
YBR255C-A,RCF3
YDR381C-A,COI1
YAL067W-A,YAL067W-A
YHR212W-A,YHR212W-A
YHR214C-E,YHR214C-E
YDR170W-A,YDR170W-A
YGR109W-A,YGR109W-A
YGR109W-B,YGR109W-B
YOR343W-B,YOR343W-B
YPR158C-D,YPR158C-D
YPR158W-A,YPR158W-A
YGR161C-D,YGR161C-D
YHL009W-B,YHL009W-B
YNL284C-A,YNL284C-A
YPL060C-A,YPL060C-A
YDR098C-B,YDR098C-B
YDR210W-B,YDR210W-B
YDR261C-D,YDR261C-D
YDR261W-B,YDR261W-B
YFL002W-B,YFL002W-B
YDR210C-C,YDR210C-C
YDR210C-D,YDR210C-D
YNCG0013W,YNCG0013W
